0,0,0
172800,11885,11885
345600,16880,7971
518400,25567,11822
691200,30826,8963
864000,38018,11468
1036800,68547,38060
1209600,125387,72694
1382400,158930,56150
1555200,219777,94438
1728000,311667,141956
1900800,382681,119823
2073600,458767,150124
2246400,511779,102995
2419200,595904,138159
2592000,647747,111525
2764800,707996,152570
2937600,778931,119170
3110400,851668,120415
3283200,929522,139083
3456000,1190526,348423
3628800,1458974,377100
3801600,2116070,826728
3974400,3553685,1747433
4147200,4860591,1831112
4320000,7225890,3120735
4492800,8925274,2527820
4665600,10987672,2968962
4838400,16292591,6691833
5011200,23114573,9103059
5184000,26318013,5148323
5356800,28497783,4157905
5529600,30736968,4103525
5702400,33508342,5104127
5875200,35961101,4939606
6048000,37711586,3766067
6220800,39549037,3806176
6393600,40880446,3260655
6566400,42100256,2971038
6739200,43523696,3103158
6912000,44873463,2846622
7084800,45667998,2509068
7257600,45925374,1592238
7430400,47038419,2559096
7603200,48646855,3322193
7776000,48796333,1721649
7948800,49674889,2503933
